starttime,tripduration
2020-09-01 07:40:00,307
2020-09-01 07:40:00,572
2020-09-01 07:40:00,407
2020-09-01 07:41:00,1542
2020-09-01 07:41:00,1276
2020-09-01 07:41:00,410
2020-09-01 07:41:00,503
2020-09-01 07:41:00,733
2020-09-01 07:41:00,1073
2020-09-01 07:42:00,342
2020-09-01 07:42:00,999
2020-09-01 07:42:00,687
2020-09-01 07:42:00,1406
2020-09-01 07:42:00,633
2020-09-01 07:42:00,2175
2020-09-01 07:42:00,886
2020-09-01 07:43:00,153
2020-09-01 07:43:00,2609
2020-09-01 07:43:00,299
2020-09-01 07:44:00,656
2020-09-01 07:44:00,2290
2020-09-01 07:44:00,360
2020-09-01 07:44:00,459
2020-09-01 07:44:00,559
2020-09-01 07:44:00,1043
2020-09-01 07:44:00,1140
2020-09-01 07:44:00,1302
2020-09-01 07:44:00,685
2020-09-01 07:44:00,690
2020-09-01 07:44:00,707
2020-09-01 07:44:00,549
2020-09-01 07:44:00,1963
2020-09-01 07:45:00,671
2020-09-01 07:45:00,1938
2020-09-01 07:45:00,1090
2020-09-01 07:45:00,665
2020-09-01 07:45:00,353
2020-09-01 07:45:00,333
2020-09-01 07:45:00,725
2020-09-01 07:45:00,712
2020-09-01 07:45:00,441
2020-09-01 07:46:00,382
2020-09-01 07:46:00,1629
2020-09-01 07:46:00,662
2020-09-01 07:46:00,778
2020-09-01 07:47:00,1119
2020-09-01 07:47:00,580
2020-09-01 07:47:00,193
2020-09-01 07:47:00,970
2020-09-01 07:47:00,258
2020-09-01 07:47:00,422
2020-09-01 07:47:00,649
2020-09-01 07:47:00,521
2020-09-01 07:48:00,887
2020-09-01 07:48:00,308
2020-09-01 07:48:00,704
2020-09-01 07:48:00,452
2020-09-01 07:48:00,876
2020-09-01 07:48:00,865
2020-09-01 07:48:00,876
2020-09-01 07:48:00,622
2020-09-01 07:48:00,290
2020-09-01 07:48:00,932
2020-09-01 07:48:00,573
2020-09-01 07:48:00,495
2020-09-01 07:48:00,848
2020-09-01 07:49:00,1580
2020-09-01 07:49:00,593
2020-09-01 07:49:00,230
2020-09-01 07:49:00,304
2020-09-01 07:49:00,911
2020-09-01 07:49:00,895
2020-09-01 07:49:00,880
2020-09-01 07:49:00,1706
2020-09-01 07:50:00,1625
2020-09-01 07:50:00,892
2020-09-01 07:50:00,627
2020-09-01 07:50:00,405
2020-09-01 07:50:00,500
2020-09-01 07:50:00,219
2020-09-01 07:50:00,918
2020-09-01 07:50:00,519
2020-09-01 07:50:00,399
2020-09-01 07:50:00,419
2020-09-01 07:50:00,942
2020-09-01 07:50:00,373
2020-09-01 07:50:00,649
2020-09-01 07:50:00,1953
2020-09-01 07:51:00,454
2020-09-01 07:51:00,968
2020-09-01 07:51:00,312
2020-09-01 07:51:00,1205
2020-09-01 07:51:00,478
2020-09-01 07:52:00,285
2020-09-01 07:52:00,432
2020-09-01 07:52:00,1285
2020-09-01 07:52:00,391
2020-09-01 07:52:00,377
2020-09-01 07:52:00,744
2020-09-01 07:52:00,469
2020-09-01 07:52:00,465
2020-09-01 07:53:00,232
